title,score,time,connect_url
异形：契约[抢先版],7.4,2017-06-25,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+W8gnjvvJpx57qmW+aKouWFiOeJiF0v5byCeO+8mnHnuqZb5oqi5YWI54mIXV9oZC5tcDRaWg==
美好的人生,7.4,2017-06-27,"thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+e+juWlveeahOS6uueUny/nvo7lpb3nmoTkurrnlJ8ubXA0Wlo=,magnet:?xt=urn:btih:b29ce14d86794726b198d4d5945208ea18ee339a&dn=Dear+Zindagi+%282016%29+720p+Bluray+x264+DD+5.1+ESub+%5BDDR%5D&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce"
诡异酒楼,2.3,2017-06-27,thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+ivoeW8gumFkualvC/or6HlvILphZLmpbwubXA0Wlo=
碟仙前传,3.2,2017-06-27,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+ein+S7meWJjeS8oC/nop/ku5nliY3kvKAubXA0Wlo=
鼹鼠之歌2：香港狂骚曲,6.3,2017-06-22,"thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+m8uem8oOS5i+atjDLvvJrpppnmuK/ni4Lpqprmm7Iv6by56byg5LmL5q2MMu+8mummmea4r+eLgumqmuabsi5tcDRaWg==,magnet:?xt=urn:btih:4215CDF806C0C54714728CE93DC1D5DA2ABAD55A"
ST红白的搜查档案,6.9,2017-06-27,"thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L1NU57qi55m955qE5pCc5p+l5qGj5qGIL1NU57qi55m955qE5pCc5p+l5qGj5qGILm1wNFpa,magnet:?xt=urn:btih:990b98cc196fbe924b1d2da98471f8142ef53346&dn=ST.The.Movie.2015.720p.BluRay.x264-WiKi&tr=udp://open.demonii.com:1337/announce&tr=udp://tracker.publicbt.com:80/announce&tr=udp://tracker.openbittorrent.com:80/announce&tr=udp://tracker.istole.it:80/announce&tr=http://tracker.trackerfix.com/announce&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce
"
此情此刻,5.2,2017-06-27,"thunder://QUFodHRwOi8vZGwxMTguODBzLmltOjkyMC8xNzA1L+atpHHmraTliLtb5Zu96K+t54mIXS/mraRx5q2k5Yi7W+WbveivreeJiF0ubXA0Wlo=,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+atpHHmraTliLtb57Kk6K+t54mIXS/mraRx5q2k5Yi7W+eypOivreeJiF0ubXA0Wlo="
宝拉[DVD版],7.4,2017-06-17,thunder://QUFodHRwOi8vZGwxMjYuODBzLmltOjkyMC8xNzA2L+WuneaLiVtEVkTniYhdL+WuneaLiVtEVkTniYhdX2JkLm1wNFpa
我不是你的黑鬼,8.1,2017-06-27,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+aIkeS4jeaYr+S9oOeahOm7kemsvC/miJHkuI3mmK/kvaDnmoTpu5HprLwubXA0Wlo=,magnet:?xt=urn:btih:f315ef31e21beaa485f05767a9be0d282732d0be&dn=I.Am.Not.Your.Negro.2016.DOCU.720p.BluRay.x264-PSYCHD%5Brarbg%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
你自己与你所有,7.1,2017-06-17,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+S9oOiHquW3seS4juS9oOaJgOaciS/kvaDoh6rlt7HkuI7kvaDmiYDmnIkubXA0Wlo=
